folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100318301,1,4,359.99,0,0,18.72,28.5
100318302,1,4,899.97,295.71,0,18.72,28.5
100318303,1,4,0,0,0,18.72,28.5
100318304,1,4,347.14,89.99,0,18.72,28.5
100318305,1,4,0,0,0,18.72,28.5
100318306,1,4,205.71,0,0,18.72,28.5
100320401,1,3,887.12,0,0,18.72,28.5
100320402,1,3,0,0,0,18.72,28.5
100320403,1,3,0,0,0,18.72,28.5
100320404,1,3,989.98,308.57,771.42,18.72,28.5
100320405,1,3,424.27,0,0,18.72,28.5
100320406,1,3,0,0,0,18.72,28.5
100322001,1,3,2352.17,154.28,0,18.72,28.5
100322002,1,3,488.56,2198.57,0,18.72,28.5
100322004,1,3,2117.56,417.85,0,18.72,28.5
100322005,1,3,1986.41,719.98,0,18.72,28.5
100322006,1,3,179.99,514.28,0,18.72,28.5
100327401,1,2,282.84,334.28,0,18.72,28.5
100327402,1,2,977.11,359.98,359.99,18.72,28.5
100327403,1,2,977.13,0,0,18.72,28.5
100327405,1,2,2507.09,1002.84,0,18.72,28.5
100327406,1,2,192.85,0,0,18.72,28.5
100329601,1,3,514.28,0,0,18.72,28.5
100329602,1,3,932.09,353.56,0,18.72,28.5
100329603,1,3,3921.39,205.71,122.14,18.72,28.5
100329604,1,3,1517.13,385.71,1157.14,18.72,28.5
100329605,1,3,1439.97,514.28,0,18.72,28.5
100329606,1,3,514.28,295.71,0,18.72,28.5
100331701,1,3,938.54,0,0,18.72,28.5
100331703,1,3,0,359.99,0,18.72,28.5
100331704,1,3,0,0,0,18.72,28.5
100331706,1,3,321.42,0,0,18.72,28.5
100344201,1,3,0,0,0,18.72,28.5
100344202,1,3,269.99,0,0,18.72,28.5
100344203,1,3,334.27,0,0,18.72,28.5
100344204,1,3,1208.54,0,0,18.72,28.5
100344205,1,3,0,0,0,18.72,28.5
100344206,1,3,7932.83,308.56,604.28,18.72,28.5
100347501,1,3,642.84,334.28,0,18.72,28.5
100347502,1,3,732.83,347.14,0,18.72,28.5
100347503,1,3,2712.83,269.99,0,18.72,28.5
100347504,1,3,578.55,347.14,0,18.72,28.5
100347505,1,3,1851.4,0,1607.13,18.72,28.5
100347506,1,3,2545.69,642.85,0,18.72,28.5
100360301,1,3,2957.12,359.99,0,18.72,28.5
100360303,1,3,0,0,0,18.72,28.5
100360304,1,3,501.41,0,0,18.72,28.5
